N	Z	P1n	P2n	P3n	Element
69	35	3.7	82.4	4.2	Br
70	35	43.3	41.4	6.7	Br
71	35	1.5	38.8	44.7	Br
72	35	8.4	24.6	56	Br
73	35	0.4	9.4	14.8	Br
74	35	3.1	3.1	66.8	Br
75	35	0.3	2.4	2.9	Br
76	35	1.4	1	10.5	Br
77	35	0	1.3	0.3	Br
78	35	0.9	0	3.7	Br
79	35	0	0.5	0.1	Br
80	35	0.4	0	1.2	Br
81	35	0	0.3	0	Br
82	35	0.1	0	0.4	Br
83	35	0	0.1	0	Br
84	35	0	0	0.1	Br
85	35	0	0	0	Br
43	36	0	0	0	Kr
45	36	0	0	0	Kr
49	36	0	0	0	Kr
51	36	0.2	0	0	Kr
52	36	1	0	0	Kr
53	36	2.1	0.5	0	Kr
54	36	2.4	0	0	Kr
55	36	2.1	0.9	0.1	Kr
56	36	2.3	0.5	0	Kr
57	36	2.1	0.9	0.3	Kr
58	36	2.3	0.5	0.3	Kr
59	36	3	1	0.3	Kr
60	36	2.7	0.5	0.4	Kr
61	36	2.9	1.2	0.3	Kr
62	36	2.9	0.6	0.4	Kr
63	36	4.4	1.5	0.4	Kr
64	36	3.6	0.7	0.5	Kr
65	36	6.6	2.1	0.5	Kr
66	36	5.2	1.1	0.6	Kr
67	36	22.6	3.2	0.7	Kr
68	36	8.7	1.7	0.8	Kr
69	36	61.1	5.9	1.3	Kr
70	36	18	2.3	1.3	Kr
71	36	64.9	18.1	2.4	Kr
72	36	63.4	3.4	3	Kr
73	36	14.5	69.2	3.2	Kr
74	36	68.2	11	3.9	Kr
75	36	4.5	60.8	19.7	Kr
76	36	22.7	46.2	16.5	Kr
77	36	2	11.7	40.1	Kr
78	36	7.6	14.1	57.2	Kr
79	36	0.8	4.2	5.5	Kr
80	36	3.4	3.5	20.4	Kr
81	36	0.3	1.8	1.7	Kr
82	36	1.1	1.1	2.8	Kr
83	36	0	1.4	0	Kr
84	36	0.4	0.4	1.1	Kr
85	36	0	0.3	0	Kr
86	36	0	0	0.5	Kr
87	36	0	0	0	Kr
49	37	0	0	0	Rb
51	37	0.9	0	0	Rb
52	37	4.1	0	0	Rb
53	37	4.4	1	0	Rb
54	37	7	0.5	0	Rb
55	37	5.4	1.3	0.3	Rb
56	37	7.1	0.7	0.2	Rb
57	37	5.3	1.4	0.3	Rb
58	37	7.5	0.8	0.4	Rb
59	37	10	1.6	0.4	Rb
60	37	14.9	0.8	0.6	Rb
61	37	10.3	2	0.4	Rb
62	37	15.3	1	0.6	Rb
63	37	25.3	2.7	0.5	Rb
64	37	31	1.2	0.7	Rb
65	37	54.9	4.2	0.5	Rb
66	37	67.6	1.6	0.8	Rb
67	37	77.7	8.2	0.9	Rb
68	37	82.3	2.4	1.3	Rb
69	37	56.9	32.3	1.5	Rb
70	37	84.2	3.8	2.2	Rb
71	37	10.5	78.8	2.3	Rb
72	37	74.8	13.5	4.1	Rb
73	37	3.1	82	5.2	Rb
74	37	18.6	62	10.9	Rb
75	37	1.5	25.5	57.4	Rb
76	37	6.4	12.5	69.8	Rb
77	37	0.6	8	16.3	Rb
78	37	3.2	3.9	67.7	Rb
79	37	0.3	3.2	3	Rb
80	37	1.7	1.5	13.1	Rb
81	37	0.1	1.1	1	Rb
82	37	0.7	0.3	3.4	Rb
83	37	0	0.7	0	Rb
84	37	0.3	0	0.9	Rb
85	37	0	0.3	0	Rb
86	37	0	0	0.3	Rb
87	37	0	0	0	Rb
89	37	0	0	0	Rb
91	37	0	0	0	Rb
47	38	0	0	0	Sr
51	38	0	0	0	Sr
52	38	0	0	0	Sr
53	38	0.1	0	0	Sr
54	38	0	0	0	Sr
55	38	1.5	0	0	Sr
56	38	0.9	0	0	Sr
57	38	1.5	0.5	0	Sr
58	38	1.7	0	0	Sr
59	38	2	0.8	0.1	Sr
60	38	2.2	0.4	0	Sr
61	38	2	0.8	0.3	Sr
62	38	2	0.5	0.2	Sr
63	38	2.5	0.9	0.3	Sr
64	38	2.3	0.6	0.3	Sr
65	38	3	1.2	0.3	Sr
66	38	2.8	0.6	0.4	Sr
67	38	5.4	1.5	0.4	Sr
68	38	4	0.8	0.5	Sr
69	38	10.4	2.3	0.5	Sr
70	38	5.5	1.1	0.6	Sr
71	38	27.4	3.7	0.7	Sr
72	38	11.4	1.9	0.8	Sr
73	38	67.5	6.8	1.6	Sr
74	38	45.9	2.5	1.9	Sr
75	38	63.2	22.2	2.8	Sr
76	38	70.7	4.1	3.2	Sr
77	38	15.9	67.8	3.4	Sr
78	38	68.8	10.5	3.6	Sr
79	38	5.8	66.2	13.2	Sr
80	38	29.4	46.1	8.3	Sr
81	38	2.8	12	51.7	Sr
82	38	6.5	14	57.3	Sr
83	38	0	8	0.9	Sr
84	38	1.6	2.3	6.6	Sr
85	38	0	1.8	1.8	Sr
86	38	1.5	0.2	3.4	Sr
87	38	0	0.5	0	Sr
88	38	0	0	1.6	Sr
89	38	0	0	0	Sr
91	38	0	0	0	Sr
51	39	0	0	0	Y
52	39	0	0	0	Y
53	39	0	0	0	Y
54	39	0	0	0	Y
55	39	3	0.4	0	Y
56	39	3.6	0	0	Y
57	39	2.9	1	0	Y
58	39	3.9	0.4	0	Y
59	39	4.7	1.1	0.3	Y
60	39	5	0.6	0.2	Y
61	39	5	1.2	0.3	Y
62	39	6.3	0.7	0.4	Y
63	39	6.6	1.5	0.3	Y
64	39	7.7	0.8	0.5	Y
65	39	9	1.9	0.4	Y
66	39	12.3	0.9	0.5	Y
67	39	31.9	2.6	0.5	Y
68	39	30.6	1.1	0.7	Y
69	39	70.2	4.3	0.6	Y
70	39	65.5	1.6	0.8	Y
71	39	77	8.7	0.8	Y
72	39	83.1	2.7	1.3	Y
73	39	52.3	37.5	1.7	Y
74	39	84.2	5.2	2.7	Y
75	39	10.2	79.1	2.6	Y
76	39	67.8	20.5	4.6	Y
77	39	3.7	81.2	5.6	Y
78	39	18.9	62.2	10.3	Y
79	39	1.7	40.2	43.6	Y
80	39	8.1	17.2	63.5	Y
81	39	0.8	8.4	20.7	Y
82	39	3.1	4.8	63.1	Y
83	39	0	5.2	0.1	Y
84	39	0.7	0.8	5	Y
85	39	0	0.6	0.4	Y
86	39	0.3	0	1.7	Y
87	39	0	0.3	0	Y
88	39	0.1	0	0.4	Y
89	39	0	0.1	0	Y
90	39	0	0	0.1	Y
91	39	0	0	0	Y
93	39	0	0	0	Y
95	39	0	0	0	Y
55	40	0	0	0	Zr
57	40	0.2	0	0	Zr
58	40	0	0	0	Zr
59	40	1.5	0	0	Zr
60	40	0.7	0	0	Zr
61	40	1.5	0.4	0	Zr
62	40	1.5	0	0	Zr
63	40	1.8	0.7	0.1	Zr
64	40	1.7	0.4	0	Zr
65	40	1.9	0.8	0.2	Zr
66	40	1.9	0.5	0.2	Zr
67	40	2.8	0.9	0.3	Zr
68	40	2.3	0.5	0.3	Zr
69	40	3.6	1.2	0.3	Zr
70	40	2.8	0.6	0.4	Zr
71	40	5.3	1.6	0.4	Zr
72	40	4.2	0.8	0.5	Zr
73	40	11.8	2.4	0.5	Zr
74	40	7.9	1.3	0.6	Zr
75	40	45.9	3.8	0.8	Zr
76	40	17.2	2.1	0.9	Zr
77	40	68.6	6.6	1.8	Zr
78	40	47.1	2.7	2	Zr
79	40	63.8	19.2	2.6	Zr
80	40	68.5	4	3.4	Zr
81	40	16.3	66.6	4.7	Zr
82	40	60.4	17.8	3.8	Zr
83	40	1.4	69.2	9.2	Zr
84	40	5.4	15.1	60	Zr
85	40	0.8	5.1	6.4	Zr
86	40	2.8	1.5	7.5	Zr
87	40	0	3.2	1.9	Zr
88	40	3	0.4	3.1	Zr
89	40	0	1.3	0.2	Zr
90	40	1.2	0	3.9	Zr
91	40	0	0.3	0	Zr
92	40	0	0	1.2	Zr
93	40	0	0	0	Zr
95	40	0	0	0	Zr
97	40	0	0	0	Zr
55	41	0	0	0	Nb
56	41	0	0	0	Nb
57	41	0	0	0	Nb
58	41	1.7	0	0	Nb
59	41	2.7	0.5	0	Nb
60	41	3	0	0	Nb
61	41	2.9	0.9	0	Nb
62	41	3.5	0.4	0	Nb
63	41	3.4	1	0.2	Nb
64	41	4	0.6	0.1	Nb
65	41	4.1	1.1	0.3	Nb
66	41	4.9	0.6	0.4	Nb
67	41	6.2	1.3	0.3	Nb
68	41	6.5	0.7	0.4	Nb
69	41	11.4	1.8	0.4	Nb
70	41	9.7	0.9	0.5	Nb
71	41	25.4	2.6	0.5	Nb
72	41	29.7	1.2	0.6	Nb
73	41	70.8	4.3	0.6	Nb
74	41	77.5	1.9	0.9	Nb
75	41	78.9	9	1	Nb
76	41	85.2	3	1.5	Nb
77	41	55.8	33.8	1.8	Nb
78	41	83.7	5.5	2.7	Nb
79	41	12.5	76.5	2.6	Nb
80	41	70.3	17.6	4.5	Nb
81	41	4.7	78.2	7.6	Nb
82	41	14.8	62.9	13.1	Nb
83	41	0.6	35.4	38.8	Nb
84	41	3.1	4.8	64.8	Nb
85	41	0.1	3.4	3.7	Nb
86	41	0.8	0.3	7	Nb
87	41	0	0.9	0.2	Nb
88	41	0.5	0	2.1	Nb
89	41	0	0.4	0	Nb
90	41	0.3	0	0.7	Nb
91	41	0	0.2	0	Nb
92	41	0.1	0	0.3	Nb
93	41	0	0.1	0	Nb
94	41	0	0	0.1	Nb
95	41	0	0	0	Nb
97	41	0	0	0	Nb
99	41	0	0	0	Nb
57	42	0	0	0	Mo
59	42	0	0	0	Mo
60	42	0	0	0	Mo
61	42	0.6	0	0	Mo
62	42	0	0	0	Mo
63	42	1.4	0	0	Mo
64	42	0.8	0	0	Mo
65	42	1.5	0.5	0	Mo
66	42	1.5	0	0	Mo
67	42	1.7	0.7	0.1	Mo
68	42	1.6	0.4	0	Mo
69	42	2	0.8	0.3	Mo
70	42	1.8	0.5	0.2	Mo
71	42	2.6	0.9	0.3	Mo
72	42	2.4	0.6	0.3	Mo
73	42	3.9	1.2	0.3	Mo
74	42	3.5	0.7	0.4	Mo
75	42	7.1	1.6	0.4	Mo
76	42	5.5	0.9	0.5	Mo
77	42	13.5	2.5	0.5	Mo
78	42	8.7	1.5	0.6	Mo
79	42	46.5	4.1	0.8	Mo
80	42	18.2	2.5	0.9	Mo
81	42	73.3	7.4	2.4	Mo
82	42	66.2	3.7	2.7	Mo
83	42	11.8	71	1.9	Mo
84	42	18.1	63.1	6.7	Mo
85	42	1.9	14.2	61.6	Mo
86	42	4.2	4.3	60.9	Mo
87	42	1	4.8	3	Mo
88	42	4.2	1.5	5.9	Mo
89	42	0.6	5.5	1.9	Mo
90	42	5	1.1	4	Mo
91	42	0	4.7	0.1	Mo
92	42	4	1.2	3.7	Mo
93	42	0	1.2	0.5	Mo
94	42	2.4	0	4.7	Mo
95	42	0	0.5	0	Mo
96	42	0.2	0	2.2	Mo
97	42	0	0	0	Mo
98	42	0	0	0.1	Mo
99	42	0	0	0	Mo
101	42	0	0	0	Mo
55	43	0	0	0	Tc
56	43	0	0	0	Tc
57	43	0	0	0	Tc
58	43	0	0	0	Tc
59	43	0	0	0	Tc
60	43	0	0	0	Tc
61	43	0	0	0	Tc
62	43	1.7	0	0	Tc
63	43	2.5	0.5	0	Tc
64	43	2.8	0	0	Tc
65	43	2.7	0.9	0	Tc
66	43	3.2	0.4	0	Tc
67	43	3.3	0.9	0.3	Tc
68	43	3.7	0.5	0.2	Tc
69	43	4.1	1.1	0.3	Tc
70	43	4.3	0.6	0.4	Tc
71	43	5.9	1.4	0.3	Tc
72	43	7	0.7	0.4	Tc
73	43	11.2	1.8	0.4	Tc
74	43	16.3	0.9	0.6	Tc
75	43	40.7	2.7	0.5	Tc
76	43	52.3	1.3	0.7	Tc
77	43	72.1	4.4	0.6	Tc
78	43	77.9	2.1	0.9	Tc
79	43	78.2	8.7	0.9	Tc
80	43	84.7	3.1	1.6	Tc
81	43	52.6	36.5	2.2	Tc
82	43	79.8	8.8	3.6	Tc
83	43	3.8	83.8	2.6	Tc
84	43	6.7	33.2	51.9	Tc
85	43	0.3	8.8	29.7	Tc
86	43	2.5	2.2	22.8	Tc
87	43	0	3.2	1.7	Tc
88	43	1.5	0.6	7.6	Tc
89	43	0	1.6	0.3	Tc
90	43	1.1	0	6.4	Tc
91	43	0	1	0	Tc
92	43	0.8	0	3	Tc
93	43	0	0.6	0	Tc
94	43	0.5	0	1.4	Tc
95	43	0	0.4	0	Tc
96	43	0.4	0	1	Tc
97	43	0	0.2	0	Tc
98	43	0.1	0	0.4	Tc
99	43	0	0	0	Tc
101	43	0	0	0	Tc
103	43	0	0	0	Tc
59	44	0	0	0	Ru
61	44	0	0	0	Ru
62	44	0	0	0	Ru
63	44	0	0	0	Ru
64	44	0	0	0	Ru
65	44	0.9	0	0	Ru
66	44	0	0	0	Ru
67	44	1.4	0.1	0	Ru
68	44	1	0	0	Ru
69	44	1.6	0.5	0	Ru
70	44	1.5	0.1	0	Ru
71	44	1.8	0.7	0.2	Ru
72	44	1.7	0.4	0	Ru
73	44	2.1	0.8	0.3	Ru
74	44	2.2	0.5	0.3	Ru
75	44	3.2	1	0.3	Ru
76	44	2.9	0.6	0.4	Ru
77	44	4.6	1.2	0.4	Ru
78	44	4.1	0.7	0.4	Ru
79	44	8.1	1.8	0.4	Ru
80	44	6.2	1	0.5	Ru
81	44	20.1	3	0.6	Ru
82	44	15.2	2.4	0.7	Ru
83	44	65.8	11.7	1.1	Ru
84	44	72	14.8	3.4	Ru
85	44	2.7	73.2	12.6	Ru
86	44	8.9	16.6	59.7	Ru
87	44	2.4	9	10.6	Ru
88	44	5.9	5.5	41	Ru
89	44	2.7	6.7	4.2	Ru
90	44	5.7	3.4	10.4	Ru
91	44	1.3	7.8	2.5	Ru
92	44	6.1	2.6	6.2	Ru
93	44	0.6	6.7	2.4	Ru
94	44	6	2.1	5.6	Ru
95	44	0.2	4.5	2	Ru
96	44	3.3	0.9	4	Ru
97	44	0	2.1	0	Ru
98	44	2.4	0	4.2	Ru
99	44	0	0.8	0	Ru
100	44	1.1	0	2.1	Ru
101	44	0	0.3	0	Ru
102	44	0	0	1.1	Ru
103	44	0	0	0	Ru
105	44	0	0	0	Ru
59	45	0	0	0	Rh
60	45	0	0	0	Rh
61	45	0	0	0	Rh
62	45	0	0	0	Rh
63	45	0	0	0	Rh
64	45	0	0	0	Rh
65	45	2	0	0	Rh
66	45	1.8	0	0	Rh
67	45	2.4	0.5	0	Rh
68	45	2.7	0	0	Rh
69	45	2.7	0.8	0.1	Rh
70	45	2.9	0.4	0	Rh
71	45	3.2	0.9	0.3	Rh
72	45	3.6	0.6	0.2	Rh
73	45	4.1	1.1	0.3	Rh
74	45	5.3	0.6	0.4	Rh
75	45	7.1	1.4	0.3	Rh
76	45	8.7	0.8	0.5	Rh
77	45	13.4	1.8	0.4	Rh
78	45	18.2	1	0.5	Rh
79	45	39.9	2.7	0.5	Rh
80	45	53.9	1.4	0.7	Rh
81	45	73	4.7	0.6	Rh
82	45	80	3	1	Rh
83	45	27.9	61.3	1.3	Rh
84	45	18.8	70.6	5.7	Rh
85	45	1	38.8	50.8	Rh
86	45	5.4	3.4	79.3	Rh
87	45	0.4	7.4	3.9	Rh
88	45	4.9	2.5	14.9	Rh
89	45	0.3	6.6	2.2	Rh
90	45	3.2	2.6	10.4	Rh
91	45	0.1	4.4	1.9	Rh
92	45	2.2	0.8	10.8	Rh
93	45	0	2.2	0.6	Rh
94	45	1.8	0.2	9	Rh
95	45	0	2.1	0.1	Rh
96	45	1.3	0	3.9	Rh
97	45	0	1.2	0	Rh
98	45	0.9	0	1.7	Rh
99	45	0	0.8	0	Rh
100	45	0.7	0	0.9	Rh
101	45	0	0.4	0	Rh
102	45	0.4	0	0.5	Rh
103	45	0	0.1	0	Rh
104	45	0.1	0	0.3	Rh
105	45	0	0	0	Rh
107	45	0	0	0	Rh
57	46	0	0	0	Pd
61	46	0	0	0	Pd
63	46	0	0	0	Pd
65	46	0	0	0	Pd
66	46	0	0	0	Pd
67	46	0	0	0	Pd
68	46	0	0	0	Pd
69	46	1	0	0	Pd
70	46	0.2	0	0	Pd
71	46	1.4	0.2	0	Pd
72	46	1.1	0	0	Pd
73	46	1.5	0.6	0	Pd
74	46	1.6	0.2	0	Pd
75	46	1.9	0.7	0.2	Pd
76	46	1.9	0.5	0.1	Pd
77	46	2.4	0.8	0.3	Pd
78	46	2.3	0.5	0.3	Pd
79	46	3.3	1	0.3	Pd
80	46	3.1	0.6	0.4	Pd
81	46	5.2	1.3	0.4	Pd
82	46	5.4	0.9	0.4	Pd
83	46	27.6	4	0.5	Pd
84	46	82.5	4.9	1.2	Pd
85	46	6.7	79.9	3.8	Pd
86	46	24.6	52	10.9	Pd
87	46	3.6	36.9	39.1	Pd
88	46	13.5	34.9	33.4	Pd
89	46	3.6	14.3	27.4	Pd
90	46	9.9	11.3	53.6	Pd
91	46	4	10.9	7.7	Pd
92	46	8.9	6	33.9	Pd
93	46	4.1	9.9	5.1	Pd
94	46	9	4.1	13.8	Pd
95	46	1.4	5.5	2.9	Pd
96	46	4.4	2.6	10.7	Pd
97	46	0.5	5	1.5	Pd
98	46	4.5	1.1	6.7	Pd
99	46	0.3	3.3	1.5	Pd
100	46	3.2	1.3	3.7	Pd
101	46	0.1	1.9	0.8	Pd
102	46	2.6	0.8	3.1	Pd
103	46	0	1.1	0.3	Pd
104	46	1.7	0.4	2.7	Pd
105	46	0	0.4	0.1	Pd
106	46	0.9	0	1.8	Pd
107	46	0	0.2	0	Pd
108	46	0.1	0	0.8	Pd
109	46	0	0	0	Pd
61	47	0	0	0	Ag
63	47	0	0	0	Ag
64	47	0	0	0	Ag
65	47	0	0	0	Ag
66	47	0	0	0	Ag
67	47	0	0	0	Ag
68	47	0.3	0	0	Ag
69	47	1.9	0.1	0	Ag
70	47	1.6	0	0	Ag
71	47	2	0.5	0	Ag
72	47	2.1	0	0	Ag
73	47	2.1	0.7	0.1	Ag
74	47	2.5	0.4	0	Ag
75	47	2.6	0.8	0.2	Ag
76	47	4	0.6	0.2	Ag
77	47	4.7	1.1	0.3	Ag
78	47	5.5	0.7	0.4	Ag
79	47	7	1.4	0.3	Ag
80	47	9.1	0.8	0.5	Ag
81	47	14.5	1.9	0.4	Ag
82	47	30.7	1.2	0.6	Ag
83	47	73.4	7.5	0.5	Ag
84	47	77.6	15.5	2.2	Ag
85	47	3.4	84.9	5.7	Ag
86	47	9.3	14.9	68.9	Ag
87	47	1.9	15.9	36.6	Ag
88	47	8.7	6.5	68.4	Ag
89	47	1	12.1	8.1	Ag
90	47	8.4	4.6	39.3	Ag
91	47	0.5	11	4.7	Ag
92	47	6.9	3.9	18.9	Ag
93	47	0.4	8.6	3.8	Ag
94	47	2.7	1.9	11.2	Ag
95	47	0.2	3.2	1.8	Ag
96	47	2	1.2	7.5	Ag
97	47	0.1	2.2	0.5	Ag
98	47	1.6	0.2	6.1	Ag
99	47	0.1	1.4	0.3	Ag
100	47	1.2	0.2	4.4	Ag
101	47	0	1.1	0	Ag
102	47	1	0	2.7	Ag
103	47	0	0.8	0	Ag
104	47	0.7	0	1.6	Ag
105	47	0	0.5	0	Ag
106	47	0.5	0	0.9	Ag
107	47	0	0.2	0	Ag
108	47	0.2	0	0.5	Ag
109	47	0	0.1	0	Ag
110	47	0.1	0	0.2	Ag
111	47	0	0	0	Ag
113	47	0	0	0	Ag
59	48	0	0	0	Cd
61	48	0	0	0	Cd
67	48	0	0	0	Cd
69	48	0	0	0	Cd
70	48	0	0	0	Cd
71	48	0.2	0	0	Cd
72	48	0	0	0	Cd
73	48	0.9	0	0	Cd
74	48	0.4	0	0	Cd
75	48	1.2	0.2	0	Cd
76	48	1.1	0	0	Cd
77	48	1.3	0.5	0	Cd
78	48	1.4	0.2	0	Cd
79	48	1.6	0.6	0.2	Cd
80	48	1.6	0.4	0.1	Cd
81	48	2.5	0.8	0.3	Cd
82	48	2.7	0.6	0.3	Cd
83	48	6.2	1.9	0.3	Cd
84	48	78.2	2.4	0.7	Cd
85	48	25.6	60.1	1.6	Cd
86	48	70.2	10.3	4	Cd
87	48	10.3	69.7	4.4	Cd
88	48	51.8	25.7	5	Cd
89	48	7.2	63.6	11.5	Cd
90	48	32.7	40.1	8.1	Cd
91	48	5.5	42.8	29	Cd
92	48	25.9	31.8	21.6	Cd
93	48	5.9	28.8	25.9	Cd
94	48	16.1	43.3	25.8	Cd
95	48	2.9	15.2	38.2	Cd
96	48	10	24.5	47.6	Cd
97	48	1.9	9.6	13.5	Cd
98	48	7.1	10.1	58	Cd
99	48	1.6	4.7	6.9	Cd
100	48	5	5.5	39.6	Cd
101	48	0.7	4.4	2.7	Cd
102	48	3.8	3.3	16.2	Cd
103	48	0.5	3	1.8	Cd
104	48	3.1	2	8.5	Cd
105	48	0.3	2.1	1.3	Cd
106	48	2.5	1.2	4.6	Cd
107	48	0.1	1.4	0.4	Cd
108	48	1.9	0.8	2.9	Cd
109	48	0	0.7	0.3	Cd
110	48	1.3	0.3	2.2	Cd
111	48	0	0.4	0.1	Cd
112	48	0.7	0	1.5	Cd
113	48	0	0.2	0	Cd
114	48	0	0	0.4	Cd
115	48	0	0	0	Cd
65	49	0	0	0	In
67	49	0	0	0	In
68	49	0	0	0	In
69	49	0	0	0	In
70	49	0	0	0	In
71	49	1.3	0	0	In
72	49	0.4	0	0	In
73	49	1.7	0.1	0	In
74	49	1.5	0	0	In
75	49	1.8	0.5	0	In
76	49	2.1	0.1	0	In
77	49	2	0.7	0.1	In
78	49	2.4	0.4	0	In
79	49	2.5	0.8	0.2	In
80	49	2.9	0.5	0.2	In
81	49	3.2	0.9	0.3	In
82	49	4.5	0.7	0.4	In
83	49	15.3	2.4	0.3	In
84	49	89.3	3.4	0.9	In
85	49	7.5	84.5	1.8	In
86	49	34.5	52	7.8	In
87	49	4.3	78.8	7.7	In
88	49	22.7	38.2	30.3	In
89	49	4.6	43.6	34.8	In
90	49	18.9	27.9	42.6	In
91	49	2	40.7	19.6	In
92	49	14.6	23.3	48.2	In
93	49	0.9	12.3	35.9	In
94	49	5.4	7.2	73.5	In
95	49	0.6	7.8	11.1	In
96	49	3.9	4.1	68.1	In
97	49	0.4	5.5	3.8	In
98	49	2.9	2.1	39.9	In
99	49	0.4	2.5	3	In
100	49	2	1.6	16.3	In
101	49	0.2	2.2	1.1	In
102	49	1.5	0.8	8.6	In
103	49	0.1	1.4	0.6	In
104	49	1.2	0.4	5.2	In
105	49	0	1.1	0.2	In
106	49	1	0.2	3.2	In
107	49	0	0.8	0.1	In
108	49	0.7	0.1	1.9	In
109	49	0	0.5	0	In
110	49	0.6	0	1.3	In
111	49	0	0.3	0	In
112	49	0.4	0	0.8	In
113	49	0	0.2	0	In
114	49	0.1	0	0.3	In
115	49	0	0.1	0	In
116	49	0	0	0.1	In
117	49	0	0	0	In
63	50	0	0	0	Sn
71	50	0	0	0	Sn
73	50	0	0	0	Sn
75	50	0	0	0	Sn
76	50	0	0	0	Sn
77	50	0	0	0	Sn
78	50	0	0	0	Sn
79	50	1	0	0	Sn
80	50	0.3	0	0	Sn
81	50	1.9	0.3	0	Sn
82	50	3.2	0	0	Sn
83	50	1.5	0.8	0.2	Sn
84	50	6.4	0.8	0.4	Sn
85	50	9	3	0.6	Sn
86	50	7.7	1.2	1	Sn
87	50	13.8	3.3	0.7	Sn
88	50	9.8	1.4	0.8	Sn
89	50	27.7	4.6	0.9	Sn
90	50	13	1.5	1	Sn
91	50	37.8	7.1	1	Sn
92	50	22.3	1.8	1.4	Sn
93	50	57	11.6	1.4	Sn
94	50	36.3	2.5	1.7	Sn
95	50	52	24.8	1.9	Sn
96	50	55.7	3.4	2.1	Sn
97	50	29	51.8	3.3	Sn
98	50	68	4.9	3.1	Sn
99	50	12.4	67	4.5	Sn
100	50	64.2	9.4	3.7	Sn
101	50	7.3	65.2	10.8	Sn
102	50	51.3	23.1	6.2	Sn
103	50	4.6	32.2	41	Sn
104	50	24.8	43	14	Sn
105	50	2.6	15.8	29.3	Sn
106	50	14.3	26.2	39.8	Sn
107	50	1.2	10.2	8	Sn
108	50	9.8	9.3	52.5	Sn
109	50	0.8	4.7	5	Sn
110	50	7	6.1	27	Sn
111	50	0.4	2.4	2.3	Sn
112	50	4.3	3.6	10.9	Sn
113	50	0.2	1.2	0.8	Sn
114	50	2.3	1.2	6.6	Sn
115	50	0	0.7	0.2	Sn
116	50	0.9	0.4	2.4	Sn
117	50	0	0.3	0	Sn
118	50	0.3	0	0.8	Sn
119	50	0	0.1	0	Sn
71	51	0	0	0	Sb
73	51	0	0	0	Sb
74	51	0	0	0	Sb
75	51	0	0	0	Sb
76	51	0	0	0	Sb
77	51	0	0	0	Sb
78	51	0	0	0	Sb
79	51	2.1	0	0	Sb
80	51	1.8	0	0	Sb
81	51	2.5	0.6	0	Sb
82	51	5.2	0.3	0	Sb
83	51	2.6	1	0.2	Sb
84	51	56.6	1.1	0.5	Sb
85	51	57.8	6.1	0.6	Sb
86	51	73.5	2	1.4	Sb
87	51	67.8	9.5	0.8	Sb
88	51	78.8	2.6	1.4	Sb
89	51	63.7	20.4	1.2	Sb
90	51	81.5	3.4	1.9	Sb
91	51	33.4	52.7	1.5	Sb
92	51	81	4.9	2.4	Sb
93	51	14.2	72.9	2.3	Sb
94	51	77.8	9.1	4	Sb
95	51	6.9	78.8	4.4	Sb
96	51	62.9	22.6	5.7	Sb
97	51	3.5	78.2	7.1	Sb
98	51	30.2	49.8	11.3	Sb
99	51	2.2	59.1	24	Sb
100	51	15.9	45.3	29.4	Sb
101	51	1.2	24.3	45.2	Sb
102	51	8.6	15.7	64.3	Sb
103	51	0.8	11	16.6	Sb
104	51	5.3	7.6	70.1	Sb
105	51	0.5	5.5	7.5	Sb
106	51	3.4	3.7	50.1	Sb
107	51	0.2	3.6	2.5	Sb
108	51	2.2	1.8	18.9	Sb
109	51	0.2	1.9	1.2	Sb
110	51	1.6	0.8	11.8	Sb
111	51	0.1	1.2	0.5	Sb
112	51	1.1	0.3	5.6	Sb
113	51	0	0.8	0.2	Sb
114	51	0.8	0.1	2.5	Sb
115	51	0	0.6	0	Sb
116	51	0.5	0	1.1	Sb
117	51	0	0.3	0	Sb
118	51	0.3	0	0.6	Sb
119	51	0	0.2	0	Sb
120	51	0.1	0	0.3	Sb
121	51	0	0.1	0	Sb
69	52	0	0	0	Te
75	52	0	0	0	Te
77	52	0	0	0	Te
79	52	0	0	0	Te
80	52	0	0	0	Te
81	52	0	0	0	Te
82	52	0	0	0	Te
83	52	1.2	0.5	0	Te
84	52	3.5	0.5	0	Te
85	52	3.5	1.8	0.4	Te
86	52	3.7	0.8	0.7	Te
87	52	4.5	1.7	0.4	Te
88	52	4.5	0.8	0.6	Te
89	52	7.1	2.1	0.5	Te
90	52	5.6	0.9	0.6	Te
91	52	10.6	2.7	0.6	Te
92	52	6.8	1	0.7	Te
93	52	26.2	3.6	0.8	Te
94	52	9.5	1.3	0.8	Te
95	52	46.4	5.4	0.9	Te
96	52	14.9	1.7	1	Te
97	52	60.7	8.6	1.2	Te
98	52	30	2.2	1.3	Te
99	52	62.4	16.5	1.6	Te
100	52	52.6	3	1.6	Te
101	52	41.4	40.6	2.2	Te
102	52	65.1	4.4	2.1	Te
103	52	18.6	64.2	4	Te
104	52	67.7	8	2.9	Te
105	52	10.4	68.4	7.8	Te
106	52	59.8	18.1	4.5	Te
107	52	5.4	56.1	22.4	Te
108	52	36.2	39.6	7.6	Te
109	52	3.3	23.6	47.3	Te
110	52	18.7	44.4	20.5	Te
111	52	2	11.8	19.5	Te
112	52	12.3	18.9	49.4	Te
113	52	1	6.6	8.1	Te
114	52	8.2	8.8	49.6	Te
115	52	0.5	3.2	3.7	Te
116	52	4.1	5.5	15	Te
117	52	0.3	1.5	1.4	Te
